server_id,server_name,server_url,server_protocol,server_status,server_description,tool_name,tool_description,tool_tags,tool_input_schema
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,predict_ml,"Run AutoML inference for SMILES list in an existing case.

Runs inference for a list of SMILES strings in a selected case. Before
inference, refreshes shared `state.json` from S3.

Args:
    case: Trained case name.
    smiles_list: Molecules in SMILES format.
    timeout: Optional timeout in minutes.

Returns:
    Inference result from `inference_ml(...)`. The structure depends on the
    trained case and available predictors.

Raises:
    pydantic.ValidationError: if payload format does not match `MLData`.
    Any exception propagated by inference or S3 sync logic.",,"{""additionalProperties"": false, ""properties"": {""case"": {""type"": ""string""}, ""smiles_list"": {""items"": {""type"": ""string""}, ""type"": ""array""}, ""timeout"": {""default"": 30, ""type"": ""integer""}}, ""required"": [""case"", ""smiles_list""], ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,list_s3_train_cases,"Lists S3 objects and resolves dataset names (`case_name`) for MCP training workflows.

Main purpose:
    Find training dataset files for the MCP server of generative and predictive molecular models.
    By default, this tool searches inside `train/` because `start_generative_model_training`
    expects datasets at `train/{case_name}.csv`.

Prefix behavior:
    - Default (`prefix=""train/""`): standard mode for training dataset discovery.
    - Global search (`prefix=""""`): lists all objects in the bucket.
      This can be useful to inspect bucket structure (for example, understand available
      folders first), and then run a narrower search for train files.

Args:
    prefix:
        S3 prefix (folder) where train datasets are stored.
        Default: `train/`.
    extension:
        File extension for train datasets.
        Default: `.csv`.

Returns:
    Dict[str, Any]:
        - `bucket_name`: resolved bucket name.
        - `prefix`: normalized prefix used for listing.
        - `extension`: normalized extension filter.
        - `total_train_files`: count of files matching expected train format.
        - `s3_keys`: matching S3 object keys.
        - `case_names`: normalized case names (without prefix and extension) for `case_name`.",,"{""additionalProperties"": false, ""properties"": {""prefix"": {""default"": ""train/"", ""type"": ""string""}, ""extension"": {""default"": "".csv"", ""type"": ""string""}}, ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,get_s3_train_case_columns,"Download train dataset by case from S3 and return CSV column names.

Useful when dataset file is known but target/feature columns are unknown.",,"{""additionalProperties"": false, ""properties"": {""case_name"": {""type"": ""string""}, ""prefix"": {""default"": ""train/"", ""type"": ""string""}, ""extension"": {""default"": "".csv"", ""type"": ""string""}}, ""required"": [""case_name""], ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,health_check,"Liveness probe for the AutoML MCP server.

Returns:
    Dictionary with fixed key/value: `{""health_check"": ""ok""}`.",,"{""additionalProperties"": false, ""properties"": {}, ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,check_state,"Get current training registry and available calculable properties.

State is read from local `state.json`.

Returns:
    Dictionary with fields:
    - `state`: all registered cases and their metadata, excluding the internal
      `Calculateble properties` section.
    - `calc_propreties`: list of property names that are computed directly and
      therefore do not require ML model training.",,"{""additionalProperties"": false, ""properties"": {}, ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,train_ml,"Train AutoML pipelines for molecule property prediction by specific case.

Training may take from minutes to hours depending on dataset size and resources.
The tool starts training in a background process and returns immediately with `job_id`.

Args:
    case: Case identifier. Should be unique for each training dataset and will be used to reference the trained model for inference. and it is similar to trian dataset name.
    target_column: Target column names for prediction.
    feature_column: Feature column names, default is `['Smiles']`.
    description: Case description.
    regression_props: Regression targets.
    classification_props: Classification targets.


Returns:
    Dictionary with async start metadata:
    - `status`: `accepted`
    - `case`: case name
    - `job_id`: background training job id
    - `pid`: OS process id
    - `started_at`: UTC timestamp",,"{""additionalProperties"": false, ""properties"": {""case"": {""type"": ""string""}, ""target_column"": {""anyOf"": [{""items"": {""type"": ""string""}, ""type"": ""array""}, {""type"": ""null""}], ""default"": null}, ""feature_column"": {""anyOf"": [{""items"": {""type"": ""string""}, ""type"": ""array""}, {""type"": ""null""}], ""default"": null}, ""description"": {""default"": ""Unknown case."", ""type"": ""string""}, ""regression_props"": {""anyOf"": [{""items"": {""type"": ""string""}, ""type"": ""array""}, {""type"": ""null""}], ""default"": null}, ""classification_props"": {""anyOf"": [{""items"": {""type"": ""string""}, ""type"": ""array""}, {""type"": ""null""}], ""default"": null}}, ""required"": [""case""], ""type"": ""object""}"
d6dac6fb09066080,AutoMLTools,http://10.32.11.22:8779/mcp,http,error,AutoML tools for prediction/generation tasks,train_ml_job_status,"Get status of a background training job started by `train_ml`.

For model-level status/metrics use `check_state` with the corresponding case.",,"{""additionalProperties"": false, ""properties"": {""job_id"": {""type"": ""string""}}, ""required"": [""job_id""], ""type"": ""object""}"
392f0aa31e346e20,test-server-8121,http://10.32.11.45:8121/mcp,http,active,Test MCP server at 8121,get_datasets_info,"Get a list of all available indexed datasets and their detailed descriptions.

This tool should be used to understand what datasets are available to search,
how many molecules they contain, and what columns are available for retrieval.",,"{""properties"": {}, ""type"": ""object""}"
392f0aa31e346e20,test-server-8121,http://10.32.11.45:8121/mcp,http,active,Test MCP server at 8121,search_similar,Search a prepared dataset with exact Tanimoto similarity.,,"{""properties"": {""smiles"": {""description"": ""Query molecule as a SMILES string"", ""type"": ""string""}, ""dataset_id"": {""description"": ""Dataset identifier to search"", ""type"": ""string""}, ""top_k"": {""default"": 20, ""description"": ""Maximum hits to return"", ""maximum"": 1000, ""minimum"": 1, ""type"": ""integer""}, ""min_similarity"": {""default"": 0.0, ""description"": ""Minimum Tanimoto similarity threshold"", ""maximum"": 1.0, ""minimum"": 0.0, ""type"": ""number""}, ""collapse_duplicates"": {""default"": false, ""description"": ""Collapse hits that share the same canonical SMILES"", ""type"": ""boolean""}, ""return_columns"": {""anyOf"": [{""items"": {""type"": ""string""}, ""type"": ""array""}, {""type"": ""null""}], ""default"": null, ""description"": ""Optional subset of original dataset columns to return""}}, ""required"": [""smiles"", ""dataset_id""], ""type"": ""object""}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,fetch_activity_data,"Unified data retrieval tool for biochemical databases.

Fetches protein-ligand interaction or activity data from BindingDB or ChEMBL.
Saves results to the given CSV file path.

Args:
    source (str): Data source (""bindingdb"" or ""chembl"").
    protein_name (str): Target protein name.
    output_path (str): Full path to the output CSV file.
    protein_id (str, optional): Target protein id. If passed, protein_name is ignored.
    affinity_type (str, optional): Type of affinity (Ki, Kd, IC50). Defaults to ""IC50"".
    cutoff (int, optional): Optional threshold (nM) for BindingDB. Defaults to 10000.

Returns:
    str: On success, path to the saved file and dataset info. On failure, error message.",,"{""type"": ""object"", ""properties"": {""source"": {""type"": ""string""}, ""protein_name"": {""type"": ""string""}, ""output_path"": {""description"": ""Full path to the output CSV file"", ""type"": ""string""}, ""protein_id"": {""anyOf"": [{""type"": ""string""}, {""type"": ""null""}], ""default"": null}, ""affinity_type"": {""default"": ""IC50"", ""type"": ""string""}, ""cutoff"": {""default"": 10000, ""type"": ""integer""}}, ""required"": [""source"", ""protein_name"", ""output_path""], ""additionalProperties"": false}"
