target,split,model,fold,n_train,n_test,r2,mae,time_s
mooney_viscosity,random,dummy,0,1022,256,-3.8822309860186976e-05,17.909106837084153,0.07
mooney_viscosity,random,dummy,1,1022,256,-0.0005917406625595145,19.33448385518591,0.1
mooney_viscosity,random,dummy,2,1022,256,-1.5376833953473223e-05,18.123975507583168,0.14
mooney_viscosity,random,dummy,3,1023,255,-0.008310805645423525,17.7903844517279,0.17
mooney_viscosity,random,dummy,4,1023,255,-0.0035811898442945633,17.900172963026854,0.2
mooney_viscosity,random,ridge,0,1022,256,0.5922578374611097,10.5458755570736,0.05
mooney_viscosity,random,ridge,1,1022,256,0.6447642317377178,9.598346063442612,0.09
mooney_viscosity,random,ridge,2,1022,256,0.6792769251734346,9.74736005979166,0.14
mooney_viscosity,random,ridge,3,1023,255,0.5956279120138577,10.527391461447957,0.18
mooney_viscosity,random,ridge,4,1023,255,0.5632217098707052,10.189492668958483,0.22
mooney_viscosity,random,pls,0,1022,256,0.6039083861933556,10.22619653118547,0.05
mooney_viscosity,random,pls,1,1022,256,0.5475326916431165,9.215329131524724,0.11
mooney_viscosity,random,pls,2,1022,256,0.669419573438939,9.553291735884349,0.16
mooney_viscosity,random,pls,3,1023,255,0.612120357603585,9.9542024144586,0.2
mooney_viscosity,random,pls,4,1023,255,0.5783740465653783,10.19770827711821,0.25
mooney_viscosity,random,rf,0,1022,256,0.7838487295774439,7.14519963700323,0.52
mooney_viscosity,random,rf,1,1022,256,0.7693267107934093,6.482933540320545,1.08
mooney_viscosity,random,rf,2,1022,256,0.80202424467684,6.971597920125234,1.58
mooney_viscosity,random,rf,3,1023,255,0.7817820920178582,6.959908721144165,2.09
mooney_viscosity,random,rf,4,1023,255,0.7267402532637086,7.254796332079696,2.65
mooney_viscosity,random,hgb,0,1022,256,0.7909056027443273,6.9867510128703225,1.18
mooney_viscosity,random,hgb,1,1022,256,0.7895357904385135,6.6354533052541935,2.29
mooney_viscosity,random,hgb,2,1022,256,0.8286461971366572,6.485350885391161,3.52
mooney_viscosity,random,hgb,3,1023,255,0.7731954186191272,7.125812213021535,4.64
mooney_viscosity,random,hgb,4,1023,255,0.727300142840926,7.2187638789685575,5.79
mooney_viscosity,patent,dummy,0,1022,256,-0.07254488378716695,16.23617600293542,0.04
mooney_viscosity,patent,dummy,1,1022,256,-0.039862449444807435,19.208214132827788,0.07
mooney_viscosity,patent,dummy,2,1022,256,-0.10511408054727167,21.575308677837572,0.1
mooney_viscosity,patent,dummy,3,1023,255,-0.0322413414339362,19.230518774078547,0.14
mooney_viscosity,patent,dummy,4,1023,255,-0.0188195397965214,15.88688356046231,0.17
mooney_viscosity,patent,ridge,0,1022,256,-1.5794045241296195,26.95980043584614,0.04
mooney_viscosity,patent,ridge,1,1022,256,-0.40539009562342176,20.750926701646467,0.08
mooney_viscosity,patent,ridge,2,1022,256,0.3976614475300929,14.928941713807607,0.12
