target,fold,test_rows_with_exact_duplicate_in_train,test_rows_with_same_patent_in_train
mooney_viscosity,0,0.51171875,0.9765625
mooney_viscosity,1,0.52734375,0.9921875
mooney_viscosity,2,0.50390625,0.9921875
mooney_viscosity,3,0.4627450980392157,0.9686274509803922
mooney_viscosity,4,0.49411764705882355,0.9686274509803922
M300_MPa,0,0.3618421052631579,0.9901315789473685
M300_MPa,1,0.3190789473684211,0.9802631578947368
M300_MPa,2,0.36303630363036304,0.9933993399339934
M300_MPa,3,0.37623762376237624,0.9966996699669967
M300_MPa,4,0.39933993399339934,0.9933993399339934
