feature,importance,target
elastomer_mooney_raw,0.2584244960727536,mooney_viscosity
silica_phr,0.09278332559964324,mooney_viscosity
SBR_phr,0.07433419133758926,mooney_viscosity
stearic_acid_phr,0.03793141281936976,mooney_viscosity
primary_accelerator_type,0.029329001028004998,mooney_viscosity
SBR_styrene_content_pct,0.027669433488245528,mooney_viscosity
SBR_type,0.0274286880280823,mooney_viscosity
vulcanization_temp_C,0.023941540221181452,mooney_viscosity
CB_grade,0.018223415414584016,mooney_viscosity
silane_type,0.017860436856495934,mooney_viscosity
NR_phr,0.014730323250924705,mooney_viscosity
NR_grade,0.012303421213946305,mooney_viscosity
is_oil_extended,0.011598316249660559,mooney_viscosity
SBR_vinyl_content_pct,0.006804296457937201,mooney_viscosity
resin_phr,0.006485668121870148,mooney_viscosity
sulfur_type_is_insoluble,0.006028336546392411,mooney_viscosity
vulcanization_time_min,0.004695923680604815,mooney_viscosity
secondary_accelerator_phr,0.004223144599649823,mooney_viscosity
mixer_type,0.0031935795933159504,mooney_viscosity
SBR_grade,0.0027247771939537422,mooney_viscosity
vulcanization_time_min,0.12491325782921418,M300_MPa
BR_cis_content_pct,0.060267946130279325,M300_MPa
NR_phr,0.054037940335343516,M300_MPa
antioxidant_phr,0.04164341639477897,M300_MPa
zinc_oxide_phr,0.04040677987383083,M300_MPa
accel_to_sulfur,0.029876817761000558,M300_MPa
BR_phr,0.02669819293942217,M300_MPa
oil_phr,0.02641660886070387,M300_MPa
vulcanization_temp_C,0.01735498426588334,M300_MPa
mixer_type,0.013392027823644717,M300_MPa
silica_phr,0.009799943357423868,M300_MPa
total_filler_phr,0.008167623507646327,M300_MPa
secondary_accelerator_phr,0.0072700149465222035,M300_MPa
resin_phr,0.005949004077668763,M300_MPa
cb_share_of_filler,0.005624756902862674,M300_MPa
SBR_grade,0.004991094792990846,M300_MPa
sulfur_type_is_insoluble,0.004705157404197148,M300_MPa
accelerator_phr,0.0037828414800706945,M300_MPa
sulfur_type,0.002880844406190245,M300_MPa
filler_per_100_el,0.0019228513946782262,M300_MPa
