target,repr,split,model,fold,n_test,r2,mae
mooney_viscosity,plain,random,ridge,0,256,0.5922578374611097,10.5458755570736
mooney_viscosity,plain,random,ridge,1,256,0.6447642317377178,9.598346063442612
mooney_viscosity,plain,random,ridge,2,256,0.6792769251734346,9.74736005979166
mooney_viscosity,plain,random,ridge,3,255,0.5956279120138577,10.527391461447957
mooney_viscosity,plain,random,ridge,4,255,0.5632217098707052,10.189492668958483
mooney_viscosity,plain,random,rf,0,256,0.7838487295774439,7.1451996370032305
mooney_viscosity,plain,random,rf,1,256,0.7693267107934093,6.482933540320545
mooney_viscosity,plain,random,rf,2,256,0.80202424467684,6.971597920125234
mooney_viscosity,plain,random,rf,3,255,0.7817820920178582,6.959908721144165
mooney_viscosity,plain,random,rf,4,255,0.7267402532637086,7.254796332079696
mooney_viscosity,plain,random,hgb,0,256,0.7909056027443273,6.9867510128703225
mooney_viscosity,plain,random,hgb,1,256,0.7895357904385135,6.6354533052541935
mooney_viscosity,plain,random,hgb,2,256,0.8286461971366572,6.485350885391161
mooney_viscosity,plain,random,hgb,3,255,0.7731954186191272,7.125812213021535
mooney_viscosity,plain,random,hgb,4,255,0.727300142840926,7.2187638789685575
mooney_viscosity,plain,patent,ridge,0,256,-1.5794045241296195,26.95980043584614
mooney_viscosity,plain,patent,ridge,1,256,-0.40539009562342176,20.750926701646467
mooney_viscosity,plain,patent,ridge,2,256,0.3976614475300929,14.928941713807607
mooney_viscosity,plain,patent,ridge,3,255,-0.04280753720170072,18.830506938295816
mooney_viscosity,plain,patent,ridge,4,255,-1.5085480095647452,26.04701694594124
mooney_viscosity,plain,patent,rf,0,256,-0.19838027034903138,17.513254371170042
mooney_viscosity,plain,patent,rf,1,256,-0.3967954321785978,21.22536782912165
mooney_viscosity,plain,patent,rf,2,256,0.3667920254647966,15.366149997123937
mooney_viscosity,plain,patent,rf,3,255,0.1990350420795608,16.236369334215023
mooney_viscosity,plain,patent,rf,4,255,0.31208278145257595,13.368253521132534
mooney_viscosity,plain,patent,hgb,0,256,-0.8883161784143754,22.94747104465623
mooney_viscosity,plain,patent,hgb,1,256,-0.4099355685773054,21.319355828261088
mooney_viscosity,plain,patent,hgb,2,256,0.18769781512678307,17.124708561647154
mooney_viscosity,plain,patent,hgb,3,255,0.187305897423389,17.582218376875836
mooney_viscosity,plain,patent,hgb,4,255,0.13159708529603997,15.617948141694654
mooney_viscosity,no_elast,random,ridge,0,256,0.5427687981731697,11.342227742479773
mooney_viscosity,no_elast,random,ridge,1,256,0.5887014939426851,10.77601809478448
mooney_viscosity,no_elast,random,ridge,2,256,0.6272454556370949,10.286985652167692
mooney_viscosity,no_elast,random,ridge,3,255,0.5313317870374274,11.173319653627589
mooney_viscosity,no_elast,random,ridge,4,255,0.46705846840299015,11.516987794813666
mooney_viscosity,no_elast,random,rf,0,256,0.763836337759372,7.437840749636811
mooney_viscosity,no_elast,random,rf,1,256,0.7432079361628536,6.748429579783582
mooney_viscosity,no_elast,random,rf,2,256,0.7979047915883193,6.980015331530016
mooney_viscosity,no_elast,random,rf,3,255,0.7726301571838324,6.920991554314941
mooney_viscosity,no_elast,random,rf,4,255,0.7306613666707122,7.2061963640807045
mooney_viscosity,no_elast,random,hgb,0,256,0.7509698194304082,7.624945930853279
mooney_viscosity,no_elast,random,hgb,1,256,0.7741003780129034,6.953718267737237
mooney_viscosity,no_elast,random,hgb,2,256,0.8275986945668513,6.385071374573662
mooney_viscosity,no_elast,random,hgb,3,255,0.7661683706047322,7.061139557402035
mooney_viscosity,no_elast,random,hgb,4,255,0.7448444916964435,7.063783051143958
mooney_viscosity,no_elast,patent,ridge,0,256,-1.9120434871100649,29.26453848318853
mooney_viscosity,no_elast,patent,ridge,1,256,-0.32831912506035277,21.6076068397258
mooney_viscosity,no_elast,patent,ridge,2,256,0.32071193251152164,15.675229970663132
mooney_viscosity,no_elast,patent,ridge,3,255,-0.1091628258961157,19.279671040524345
mooney_viscosity,no_elast,patent,ridge,4,255,-1.1790794151473687,25.48924823762551
mooney_viscosity,no_elast,patent,rf,0,256,-0.2854721463051624,18.17557723519068
mooney_viscosity,no_elast,patent,rf,1,256,-0.5092675460695002,21.517655922197207
mooney_viscosity,no_elast,patent,rf,2,256,0.41835184658515,14.56398004379096
mooney_viscosity,no_elast,patent,rf,3,255,0.13399790415783008,17.25905368983149
mooney_viscosity,no_elast,patent,rf,4,255,0.3374574176057704,12.695321872794691
mooney_viscosity,no_elast,patent,hgb,0,256,-1.4145648817578973,25.55141020099809
mooney_viscosity,no_elast,patent,hgb,1,256,-0.5030296597691057,21.525712919598
mooney_viscosity,no_elast,patent,hgb,2,256,0.25384427267732523,16.845925448927048
mooney_viscosity,no_elast,patent,hgb,3,255,-0.08698694556183928,20.356372421707718
mooney_viscosity,no_elast,patent,hgb,4,255,0.21061011520069728,14.795428062521633
mooney_viscosity,polybert,random,ridge,0,256,0.573572134456485,10.848190781836363
mooney_viscosity,polybert,random,ridge,1,256,0.6191725303764651,10.3385582993268
mooney_viscosity,polybert,random,ridge,2,256,0.6433913062832761,10.170544315615974
mooney_viscosity,polybert,random,ridge,3,255,0.5532811863340343,11.00748223828123
mooney_viscosity,polybert,random,ridge,4,255,0.5187999575315521,10.881409029676837
mooney_viscosity,polybert,random,rf,0,256,0.7932379040185104,7.045190042893013
mooney_viscosity,polybert,random,rf,1,256,0.7915840751434909,6.430154338077674
mooney_viscosity,polybert,random,rf,2,256,0.8124600049808599,7.005871987798237
mooney_viscosity,polybert,random,rf,3,255,0.7801334967656478,7.016555519446836
mooney_viscosity,polybert,random,rf,4,255,0.6540364008888259,8.241616470079242
mooney_viscosity,polybert,random,hgb,0,256,0.7981592926538774,6.990676737594525
mooney_viscosity,polybert,random,hgb,1,256,0.8019610046111285,6.597617043729885
mooney_viscosity,polybert,random,hgb,2,256,0.8237460596881059,6.4832099311763045
mooney_viscosity,polybert,random,hgb,3,255,0.7591302747016917,7.2706082408653305
mooney_viscosity,polybert,random,hgb,4,255,0.6833216658255662,7.765071932308346
mooney_viscosity,polybert,patent,ridge,0,256,-1.9599754293835678,29.61009417294516
mooney_viscosity,polybert,patent,ridge,1,256,-0.34590127917582825,21.068430913711268
mooney_viscosity,polybert,patent,ridge,2,256,0.37249373298527755,15.319714562314836
mooney_viscosity,polybert,patent,ridge,3,255,-0.09926384143053935,19.975894162863998
mooney_viscosity,polybert,patent,ridge,4,255,-1.209451282158342,24.854098902327898
mooney_viscosity,polybert,patent,rf,0,256,-0.4513662833260088,19.584663601000415
mooney_viscosity,polybert,patent,rf,1,256,-0.2667284047219942,20.53399757317107
mooney_viscosity,polybert,patent,rf,2,256,0.2644699498116422,16.777691501387025
mooney_viscosity,polybert,patent,rf,3,255,0.17206598436021103,16.27548594593034
mooney_viscosity,polybert,patent,rf,4,255,0.3037893735678062,13.407128992454107
mooney_viscosity,polybert,patent,hgb,0,256,-0.34934941509114936,19.341670013382277
mooney_viscosity,polybert,patent,hgb,1,256,-0.3067862077754515,20.3530152128395
