target,repr,split,model,r2_mean,r2_std,mae_mean,mae_std
M300_MPa,chem-min,patent,hgb,0.27406532229157643,0.16463521661341943,3.0127068348558015,0.41436366620904885
M300_MPa,chem-min,patent,rf,0.3608699120503752,0.11705406038467842,2.819646618874193,0.3276746349229788
M300_MPa,chem-min,patent,ridge,0.2448101456072301,0.09131211784817139,3.290813148905439,0.34823230086740486
M300_MPa,chem-min,random,hgb,0.8532811156756672,0.019875046966621564,1.134483436979971,0.08096393535238132
M300_MPa,chem-min,random,rf,0.8528250848536081,0.02368227023394134,1.1897340824476195,0.0885507827060166
M300_MPa,chem-min,random,ridge,0.390480912014573,0.059605146008989515,2.9130153044933187,0.07000557357792295
M300_MPa,no_elast,patent,hgb,0.14736061002999837,0.2873202043911749,3.182460253285599,0.5994397948075428
M300_MPa,no_elast,patent,rf,0.32337228375518123,0.1397729965065768,2.987002183224407,0.4673052412383448
M300_MPa,no_elast,patent,ridge,0.19021177718458587,0.09267375749970788,3.316641057041874,0.21389156207138205
M300_MPa,no_elast,random,hgb,0.857923509091442,0.01051746628099287,1.1506799561088408,0.042523191436572016
M300_MPa,no_elast,random,rf,0.860295150359514,0.01471177495821771,1.148870485406055,0.060496330625343604
M300_MPa,no_elast,random,ridge,0.6454719859014996,0.03128706492784056,2.0599963144325355,0.06491131144543053
M300_MPa,plain,patent,hgb,0.23230813143428125,0.20371177187910103,3.0188270312045224,0.41698742571212527
M300_MPa,plain,patent,rf,0.39116274617123703,0.08905633018443523,2.7933128497874016,0.2858958498842012
M300_MPa,plain,patent,ridge,0.21688054819263938,0.11804886777471282,3.1555362913218454,0.31020425852304495
M300_MPa,plain,random,hgb,0.8734042431896393,0.011890047940362782,1.0790243855006647,0.04895347210328794
M300_MPa,plain,random,rf,0.8696195948053973,0.013313614162984981,1.0981440866411465,0.06661342535005328
M300_MPa,plain,random,ridge,0.7181942002473658,0.026161549514032517,1.802525142897625,0.11341289764554377
M300_MPa,plain+polybert,patent,hgb,0.32827481956341287,0.2129297211590642,2.86430007266954,0.4677061681724312
M300_MPa,plain+polybert,patent,rf,0.40613178051695675,0.11336157224780377,2.751383987770301,0.36589082014435764
M300_MPa,plain+polybert,patent,ridge,0.1999818609620388,0.1268854798279287,3.1970077754570925,0.29909684333371034
M300_MPa,plain+polybert,random,hgb,0.8764126085655711,0.020341867852852056,1.0669712964037406,0.08201204008385173
M300_MPa,plain+polybert,random,rf,0.870270945584984,0.014211542154998364,1.1224765717718157,0.0811491756047191
M300_MPa,plain+polybert,random,ridge,0.717956917146547,0.026341921363712908,1.8026199186503593,0.1165531145977694
M300_MPa,polybert,patent,hgb,0.30883756330936907,0.18335389117546197,2.9428514452219994,0.4868386750571452
M300_MPa,polybert,patent,rf,0.3965468217000159,0.13888094725909564,2.7970106658517935,0.4603113596450459
M300_MPa,polybert,patent,ridge,0.20837910952048144,0.10078526020952673,3.2220400439072328,0.3172580866479385
M300_MPa,polybert,random,hgb,0.8736009034243395,0.022372863589380784,1.0875465470295516,0.10000520476414149
M300_MPa,polybert,random,rf,0.8714882279172066,0.015175635716322933,1.1227651904980989,0.08523923426567526
M300_MPa,polybert,random,ridge,0.6866335790571634,0.027625668733357523,1.9241903276452028,0.07755933585644882
M300_MPa,tp,patent,hgb,0.3232088311920168,0.20945960229410865,2.9175747164276595,0.510473904746772
M300_MPa,tp,patent,rf,0.39760089230218776,0.11305846413276259,2.8095751910705347,0.4047223526147513
M300_MPa,tp,patent,ridge,0.2004977163032767,0.09983834234689319,3.2320537829006866,0.3223595506590392
M300_MPa,tp,random,hgb,0.872897996099287,0.022053868854214967,1.080998679281666,0.08328877899206945
M300_MPa,tp,random,rf,0.8676712754867214,0.015052635542141854,1.138214333528556,0.08600814733122057
M300_MPa,tp,random,ridge,0.6868945506404998,0.027803540736306274,1.9228475194716068,0.07856553071522177
mooney_viscosity,chem-min,patent,hgb,-0.4383225838451665,0.21459195198493414,21.20474967655084,1.3258079089798287
mooney_viscosity,chem-min,patent,rf,-0.17969270939175316,0.09823305318983856,19.23674129108067,1.9401603678147328
mooney_viscosity,chem-min,patent,ridge,-0.09094379122678571,0.15143454628330752,18.632442037852346,0.724391116622359
mooney_viscosity,chem-min,random,hgb,0.5765883850731491,0.06605872045140086,9.141837667327177,0.4660451528845085
mooney_viscosity,chem-min,random,rf,0.5874638107086154,0.048426309669682185,9.25606937026582,0.3126535433037732
mooney_viscosity,chem-min,random,ridge,0.17754138809165657,0.0599113088125548,15.971527174897195,0.5149909073954934
mooney_viscosity,no_elast,patent,hgb,-0.30802541984216397,0.6884756007041134,19.814969810750497,4.187407638001482
mooney_viscosity,no_elast,patent,rf,0.019013495194817587,0.4018368541321095,16.842317752761005,3.398471503186917
