patent_id,compound_name,NR_phr,SBR_phr,BR_phr,NBR_phr,EPDM_phr,IIR_phr,FKM_phr,ENR_phr,CR_phr,carbon_black_phr,silica_phr,silane_coupling_phr,oil_phr,resin_phr,antioxidant_phr,wax_phr,sulfur_phr,primary_accelerator_phr,secondary_accelerator_phr,zinc_oxide_phr,stearic_acid_phr,accelerator_phr,primary_accelerator_raw,primary_accelerator_type,secondary_accelerator_raw,secondary_accelerator_type,antioxidant_raw,antioxidant_type,sulfur_type,cure_system_type,oil_raw,oil_type,is_oil_extended,silane_raw,silane_type,SBR_type,SBR_styrene_content_pct,SBR_vinyl_content_pct,SBR_grade,BR_cis_content_pct,BR_grade,NR_grade,elastomer_mooney_raw,CB_grade,CB_N2SA_m2g,CB_DBP_ml100g,CB_CTAB_m2g,silica_grade,silica_N2SA_m2g,silica_CTAB_m2g,mixer_type,mooney_viscosity,mooney_scorch_t5,ts2_min,Tc10_min,t90_min,Tc50_min,hardness_shore_A,M100_MPa,M300_MPa,tensile_strength_MPa,elongation_at_break_percent,tan_delta_0C,tan_delta_60C,abrasion_loss_mm3,rebound_60C_percent,mixing_temp_C,vulcanization_temp_C,vulcanization_time_min,mixing_stages,nonproductive_drop_temp_C,productive_drop_temp_C,qc_hard_issues,qc_soft_issues,qc_flags,qc_repaired
CN102656023B,W1,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,,,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN102656023B,W2,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,naphthenic oil,naphthenic,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN102656023B,W3,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,,,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN102656023B,F1,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,,,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN102656023B,F2,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,,,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN102656023B,F3,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n-cyclohexyl-2-benzothiazole sulfenamide (CBS),CBS,diphenylguanidine (DPG),DPG,,,soluble,SEV,,,False,X50-S,TESPT,SSBR,,,,93.0,,,,N330,,,,ZEOSIL 1165,,,Banbury,,,,,,,,,,,,,,,,,150.0,30.0,2.0,,,,,,False
CN106032417A,Comparative example 2 (rubber composition DH2),0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,TBBS,TBBS,,,,,insoluble,CV,,,False,,,SSBR,25.0,26.0,SSBR2305,,,,,ASTM IRB7,,,,,,,internal,,,,,30.0,,,,,,,,,,,50.0,145.0,30.0,1.0,,,,,,False
CN106032417A,Comparative example 3 (rubber composition DH3),0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,TBBS,TBBS,,,,,insoluble,CV,,,False,,,SSBR,,,,96.5,,,,ASTM IRB7,,,,ASTM IRB7,,,internal,,,,,30.0,,,,,,,,,,,50.0,145.0,30.0,1.0,,,,,,False
CN105658718A,T1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,98.0,,,,N234,,,,,,,,,,,,,,,,3.17,,100.0,,0.2,,,,,,,,,,,,False
CN105658718A,C1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,98.0,,,,N234,,,,,,,,,,,,,,,,2.21,,500.0,,0.17,,,,,,,,,,,,False
CN105658718A,C2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,98.0,,,,N234,,,,,,,,,,,,,,,,3.08,,566.0,,0.21,,,,,,,,,,,,False
CN105658718A,C3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,98.0,,,,N234,,,,,,,,,,,,,,,,,,666.0,,0.11,,,,,,,,,,,,False
CN105658718A,C4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,98.0,,,,N234,,,,,,,,,,,,,,,,,,833.0,,0.15,,,,,,,,,,,,False
CN105658718A,T2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,,,,,N234,,,,,,,,,,,,,,,,1.13,,53.0,,0.09,,,,,,,,,,,,False
CN105658718A,T3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,peroxide,,,,,,,,,,,,,,N234,,,,,,,,,,,,,,,,0.5,,78.0,,0.16,,,,,,,,,,,,False
CN105658718A,C5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Santocure CBS,CBS,,,,,,peroxide,,,,,,,,,,,,,,N234,,,,,,,,,,,,,,,,2.53,,88.0,,0.04,,,,,,,,,,,,False
CN105658718A,C6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Santocure CBS,CBS,,,,,,peroxide,,,,,,,,,,,,,,N234,,,,,,,,,,,,,,,,4.56,,86.0,,0.07,,,,,,,,,,,,False
CN104072816B,Example 1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,4.0,12.0,3.0,2.0,1.5,2.5,1.5,0.0,3.0,2.0,1.5,Nocceler CZ,CBS,Nocceler D,DPG,Antage RD,TMQ,insoluble,CV,VIVATEC500,TDAE,False,Si75,TESPD,ESBR,,,,,,SMR20,,N351H,,,,ULTRASIL VN3,175.0,,,,,,,,,,,,,,,,,,,170.0,12.0,,,,,primary_accel_type_missing,,True
CN109562644B,V1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6.8,35.0,0.0,2.0,1.0,1.5,0.0,0.0,2.5,2.0,0.0,CBS,CBS,DPG,DPG,6PPD,6PPD,soluble,CV,TDAE,TDAE,False,TESPD,TESPD,SSBR,25.0,63.0,A-1,80.0,high cis BR,,70.0,,,,,Zeosil 1165MP,149.0,154.0,internal,72.0,,,,,,,,,,,,,,,,160.0,,,,,,,,False
CN109562644B,V2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6.8,35.0,0.0,2.0,1.0,1.5,0.0,0.0,2.5,2.0,0.0,CBS,CBS,DPG,DPG,6PPD,6PPD,soluble,CV,TDAE,TDAE,False,TESPD,TESPD,SSBR,25.0,63.0,A-1,80.0,high cis BR,,70.0,,,,,Zeosil 1165MP,149.0,154.0,internal,60.0,,,,,,,,,,,,,,,,160.0,,,,,,,,False
CN109562644B,V3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6.8,35.0,0.0,2.0,1.0,1.5,0.0,0.0,2.5,2.0,0.0,CBS,CBS,DPG,DPG,6PPD,6PPD,soluble,CV,TDAE,TDAE,False,TESPD,TESPD,SSBR,25.0,63.0,A-1,80.0,high cis BR,,70.0,,,,,Zeosil 1165MP,149.0,154.0,internal,55.0,,,,,,,,,,,,,,,,160.0,,,,,,,,False
